content_a,content_q,major,minor,recommend,view_count,content
"지급명령에 대해 이의신청이 없거나, 이의신청을 취하하거나, 각하결정이 확정된 때에는 지급명령은 확정판결과 같은 효력이 있으므로, 이의가 있으면 지급명령 송달일로부터 2주 이내에 이의신청을 하기 바랍니다.◇ 지급명령☞ 지급명령이란 금전, 그 밖에 대체물이나 유가증권의 일정한 수량의 지급을 목적으로 하는 채권자의 청구에 이유가 있다고 인정하면, 채무자의 심문 없이 서면심사만으로 채무자에게 그 이행을 명하는 재판입니다. 지급명령은 채무자의 이의가 있으면 그 한도에서 효력이 소멸합니다.더보기","법원으로부터 지급명령결정서를 송달 받았는데, 어떻게 해야 하나요?",나홀로민사소송,지급명령,2459,9262,"법원으로부터 지급명령결정서를 송달 받았는데, 어떻게 해야 하나요? / 지급명령에 대해 이의신청이 없거나, 이의신청을 취하하거나, 각하결정이 확정된 때에는 지급명령은 확정판결과 같은 효력이 있으므로, 이의가 있으면 지급명령 송달일로부터 2주 이내에 이의신청을 하기 바랍니다.◇ 지급명령☞ 지급명령이란 금전, 그 밖에 대체물이나 유가증권의 일정한 수량의 지급을 목적으로 하는 채권자의 청구에 이유가 있다고 인정하면, 채무자의 심문 없이 서면심사만으로 채무자에게 그 이행을 명하는 재판입니다. 지급명령은 채무자의 이의가 있으면 그 한도에서 효력이 소멸합니다.더보기"
"네, 판결이 확정된 뒤 아직 5년이 지나지 않은 경우라면 재심청구를 할 수 있습니다.◇ 재심의 개념☞ 재심이란 통상의 방법으로는 상소를 할 수 없게 된 확정판결에 중대한 오류가 있을 경우 당사자의 청구에 의해 그 판결의 당부를 다시 재심하는 절차를 말합니다.◇ 재심 제기 기간더보기",채무자를 상대로 소송을 제기했는데 채무자가 변제금을 받은 후 제가 발행했다면서 제 인감도장이 찍힌 영수증을 증거자료로 제출해 패소를 했습니다. 얼마 후 이 영수증이 변조된 것임을 알고 고소하였으나 공소시효가 완성되었다는 이유로 불기소결정을 고지 받았습니다. 이에 재심청구를 하려고 하는데 가능할까요?,나홀로민사소송,재심,2555,8130,"채무자를 상대로 소송을 제기했는데 채무자가 변제금을 받은 후 제가 발행했다면서 제 인감도장이 찍힌 영수증을 증거자료로 제출해 패소를 했습니다. 얼마 후 이 영수증이 변조된 것임을 알고 고소하였으나 공소시효가 완성되었다는 이유로 불기소결정을 고지 받았습니다. 이에 재심청구를 하려고 하는데 가능할까요? / 네, 판결이 확정된 뒤 아직 5년이 지나지 않은 경우라면 재심청구를 할 수 있습니다.◇ 재심의 개념☞ 재심이란 통상의 방법으로는 상소를 할 수 없게 된 확정판결에 중대한 오류가 있을 경우 당사자의 청구에 의해 그 판결의 당부를 다시 재심하는 절차를 말합니다.◇ 재심 제기 기간더보기"
법원은 특별한 규정이 없으면 누구든지 증인으로 신문할 수 있습니다. 그러므로 가능한 출석을 하는 것이 좋습니다.◇ 증인의 불출석☞ 증인이 출석요구를 받고 기일에 출석할 수 없을 경우에는 바로 그 사유를 밝혀 신고해야 합니다.◇ 위반 시 제재☞ 증인이 정당한 사유 없이 출석하지 않은 경우 법원은 결정으로 증인에게 이로 말미암은 소송비용을 부담하도록 명하고 500만원 이하의 과태료를 부과합니다.더보기,얼마 전 다툼을 말린 적이 있는데 이 싸움으로 인한 소송에서 증인으로 나오라고 합니다. 바쁘기도 하고 겁도 나서 가기 싫은데 안가도 되나요?,나홀로민사소송,증인출석,2421,7238,얼마 전 다툼을 말린 적이 있는데 이 싸움으로 인한 소송에서 증인으로 나오라고 합니다. 바쁘기도 하고 겁도 나서 가기 싫은데 안가도 되나요? / 법원은 특별한 규정이 없으면 누구든지 증인으로 신문할 수 있습니다. 그러므로 가능한 출석을 하는 것이 좋습니다.◇ 증인의 불출석☞ 증인이 출석요구를 받고 기일에 출석할 수 없을 경우에는 바로 그 사유를 밝혀 신고해야 합니다.◇ 위반 시 제재☞ 증인이 정당한 사유 없이 출석하지 않은 경우 법원은 결정으로 증인에게 이로 말미암은 소송비용을 부담하도록 명하고 500만원 이하의 과태료를 부과합니다.더보기
"사해행위 취소소송을 제기해 볼 수는 있으나, 판례는 이혼에 따른 재산분할이 채권자에 대한 담보가 감소되는 결과가 되더라도 특별한 사정이 없는 한 사해행위로서 취소되어야 할 것은 아니므로, 재산분할이 상당한 정도를 벗어나는 과대한 것이라고 볼 만한 특별한 사정에 대한 입증책임은 채권자에게 있다고 판시하고 있습니다(대법원 2001. 2. 9. 선고 2000다63516 판결 ).따라서, A의 이혼에 따른 재산분할이 적정 수준을 벗어나 과대하게 이루어 진 것임을 입증할만한 증거를 원고가 제시해야 하므로 이러한 증거를 준비할 수 있는지 먼저 확인해 보시기 바랍니다.더보기",집이 있는 친구에게 돈을 빌려주었는데 변제일이 지나 독촉을 해도 돈을 갚지 않던 친구가 갑자기 이혼 후 분할소송으로 집을 아내에게 명의이전 했습니다. 친구의 유일한 재산은 집이어서 이제 돈을 받을 길이 없습니다. 어떻게 해야 하나요?,나홀로민사소송,입증책임,2419,7526,"집이 있는 친구에게 돈을 빌려주었는데 변제일이 지나 독촉을 해도 돈을 갚지 않던 친구가 갑자기 이혼 후 분할소송으로 집을 아내에게 명의이전 했습니다. 친구의 유일한 재산은 집이어서 이제 돈을 받을 길이 없습니다. 어떻게 해야 하나요? / 사해행위 취소소송을 제기해 볼 수는 있으나, 판례는 이혼에 따른 재산분할이 채권자에 대한 담보가 감소되는 결과가 되더라도 특별한 사정이 없는 한 사해행위로서 취소되어야 할 것은 아니므로, 재산분할이 상당한 정도를 벗어나는 과대한 것이라고 볼 만한 특별한 사정에 대한 입증책임은 채권자에게 있다고 판시하고 있습니다(대법원 2001. 2. 9. 선고 2000다63516 판결 ).따라서, A의 이혼에 따른 재산분할이 적정 수준을 벗어나 과대하게 이루어 진 것임을 입증할만한 증거를 원고가 제시해야 하므로 이러한 증거를 준비할 수 있는지 먼저 확인해 보시기 바랍니다.더보기"
"주소보정명령서를 가지고 동사무소를 방문해 피고의 주소를 알아보시기 바랍니다. 법원의 명령서가 있을 경우에는 동사무소에서 주민등록등본 및 초본을 발급해 줍니다.발급받은 주민등록등본 등을 가지고 주소보정서를 제출하면 됩니다.만약 주소보정서를 제출했음에도 송달이 안 되어 다시 재송달, 특별송달 등의 과정을 거쳤음에도 불구하고 송달이 되지 않는다면 공시송달을 신청해 보시기 바랍니다.더보기",얼마 전 소송을 제기했는데 법원에서 소장 부본이 송달이 안 되니 주소보정을 하라는 명령을 받았습니다. 어떻게 해야 하나요?,나홀로민사소송,주소보정,2613,9468,"얼마 전 소송을 제기했는데 법원에서 소장 부본이 송달이 안 되니 주소보정을 하라는 명령을 받았습니다. 어떻게 해야 하나요? / 주소보정명령서를 가지고 동사무소를 방문해 피고의 주소를 알아보시기 바랍니다. 법원의 명령서가 있을 경우에는 동사무소에서 주민등록등본 및 초본을 발급해 줍니다.발급받은 주민등록등본 등을 가지고 주소보정서를 제출하면 됩니다.만약 주소보정서를 제출했음에도 송달이 안 되어 다시 재송달, 특별송달 등의 과정을 거쳤음에도 불구하고 송달이 되지 않는다면 공시송달을 신청해 보시기 바랍니다.더보기"
어음·수표를 분실하거나 도난당한 경우 소지인은 먼저 경찰서에 분실·도난신고를 하고 발행인 및 은행에 그 사실을 알림과 동시에 지급위탁을 취소해 지급정지를 시켜야 합니다.그 후 새로운 취득자와 합의를 보거나 법원에 공시최고절차에 의한 어음·수표의 제권판결을 받으면 됩니다. 제권판결이 있으면 분실·도난당한 어음과 수표는 무효가 되며 제권판결 신청인은 어음이나 수표가 없어도 위 판결문으로 권리를 행사해 돈을 지급받을 수 있습니다.더보기,아침에 출근하는 도중 은행에 입금하려고 가지고 있던 회사의 어음ㆍ수표를 분실했습니다. 당장 어떻게 해야 할까요?,나홀로민사소송,공시최고(제권판결),2563,7619,아침에 출근하는 도중 은행에 입금하려고 가지고 있던 회사의 어음ㆍ수표를 분실했습니다. 당장 어떻게 해야 할까요? / 어음·수표를 분실하거나 도난당한 경우 소지인은 먼저 경찰서에 분실·도난신고를 하고 발행인 및 은행에 그 사실을 알림과 동시에 지급위탁을 취소해 지급정지를 시켜야 합니다.그 후 새로운 취득자와 합의를 보거나 법원에 공시최고절차에 의한 어음·수표의 제권판결을 받으면 됩니다. 제권판결이 있으면 분실·도난당한 어음과 수표는 무효가 되며 제권판결 신청인은 어음이나 수표가 없어도 위 판결문으로 권리를 행사해 돈을 지급받을 수 있습니다.더보기
"지급명령 신청을 해보시기를 권합니다. 지급명령 신청 시에 반드시 차용증과 같은 권리증서를 내야 하는 것은 아닙니다. 신청인의 주장을 뒷받침할 수 있을 만한 자료를 제출하면 되므로 통장이체내역을 첨부서류로 신청해도 무방합니다.◇ 지급명령의 개념☞ 지급명령이란 금전, 그 밖에 대체물(代替物)이나 유가증권의 일정한 수량의 지급을 목적으로 하는 채권자의 청구에 대해 이유가 있다고 인정되면 변론을 거치지 않고 채무자에게 일정한 급부를 명하는 재판을 말합니다.더보기","친한 친구의 부탁으로 3,000,000원을 빌려주었는데 기한이 지나도 갚지 않고 연락조차 되지 않는 상황입니다. 친한 친구라 차용증 같은 것은 작성하지 않았고 통장으로 이체시킨 내역만 있습니다. 어떻게 해야 돈을 받을 수 있을까요?",나홀로민사소송,지급명령,2648,8004,"친한 친구의 부탁으로 3,000,000원을 빌려주었는데 기한이 지나도 갚지 않고 연락조차 되지 않는 상황입니다. 친한 친구라 차용증 같은 것은 작성하지 않았고 통장으로 이체시킨 내역만 있습니다. 어떻게 해야 돈을 받을 수 있을까요? / 지급명령 신청을 해보시기를 권합니다. 지급명령 신청 시에 반드시 차용증과 같은 권리증서를 내야 하는 것은 아닙니다. 신청인의 주장을 뒷받침할 수 있을 만한 자료를 제출하면 되므로 통장이체내역을 첨부서류로 신청해도 무방합니다.◇ 지급명령의 개념☞ 지급명령이란 금전, 그 밖에 대체물(代替物)이나 유가증권의 일정한 수량의 지급을 목적으로 하는 채권자의 청구에 대해 이유가 있다고 인정되면 변론을 거치지 않고 채무자에게 일정한 급부를 명하는 재판을 말합니다.더보기"
민사소송을 제기하기 전에 민사조정신청을 해 보시기를 권해 드립니다. 민사조정은 당사자 사이에 합의된 사항을 조서에 기재함으로써 성립합니다.◇ 민사조정의 개념☞ 민사조정이란 민사에 관한 분쟁을 당사자 사이의 상호 양해를 통해 조리(條理)를 바탕으로 실정에 맞게 해결하는 간이한 절차를 말합니다.더보기,친구와 동업을 하고 있는데 일정 부분의 이익이 제가 모르는 사이 없어지는 듯 해 동업을 파기하려고 하니 공유물분할에 관해 다툼이 생겼습니다. 친구 사이라 소송까지는 가고 싶지 않은데 달리 방법이 없을까요?,나홀로민사소송,민사조정,2419,7460,친구와 동업을 하고 있는데 일정 부분의 이익이 제가 모르는 사이 없어지는 듯 해 동업을 파기하려고 하니 공유물분할에 관해 다툼이 생겼습니다. 친구 사이라 소송까지는 가고 싶지 않은데 달리 방법이 없을까요? / 민사소송을 제기하기 전에 민사조정신청을 해 보시기를 권해 드립니다. 민사조정은 당사자 사이에 합의된 사항을 조서에 기재함으로써 성립합니다.◇ 민사조정의 개념☞ 민사조정이란 민사에 관한 분쟁을 당사자 사이의 상호 양해를 통해 조리(條理)를 바탕으로 실정에 맞게 해결하는 간이한 절차를 말합니다.더보기
"패소를 하면 승소자의 소송비용도 부담을 하게 됩니다. 소송비용에는 인지액, 송달료, 감정비용, 증인비용, 변호사보수도 포함됩니다.그러나 상대방의 변호사비용 전부를 부담하는 것은 아니고 「변호사보수의소송비용산입에관한규칙」의 기준에 따라 산정된 금액만을 부담하면 됩니다.◇ 패소자가 부담해야 하는 소송비용☞ 인지액더보기",상속재산에 다툼이 생겨 소송을 고민 중입니다. 여기저기 문의를 해 보니 패소를 하면 상대방의 변호사비용까지 전부 부담한다고 하는데 사실인가요?,나홀로민사소송,소송비용의 부담,2843,8468,"상속재산에 다툼이 생겨 소송을 고민 중입니다. 여기저기 문의를 해 보니 패소를 하면 상대방의 변호사비용까지 전부 부담한다고 하는데 사실인가요? / 패소를 하면 승소자의 소송비용도 부담을 하게 됩니다. 소송비용에는 인지액, 송달료, 감정비용, 증인비용, 변호사보수도 포함됩니다.그러나 상대방의 변호사비용 전부를 부담하는 것은 아니고 「변호사보수의소송비용산입에관한규칙」의 기준에 따라 산정된 금액만을 부담하면 됩니다.◇ 패소자가 부담해야 하는 소송비용☞ 인지액더보기"
경제적으로 어려운 사람들에게 법률 사무에 관한 지원을 하고 있는 대한법률구조공단(http://www.klac.or.kr/)의 가까운 사무소를 찾아 상담을 해 보시기 바랍니다. 법률구조대상자에 해당하는 경우 변호사나 공익법무관이 무료로 소송을 진행해 줍니다.가사사건인 경우에는 한국가정법률상담소(http://www.lawhome.or.kr/)에 방문해 도움을 요청하셔도 됩니다. 역시 법률구조대상자에 해당하는 경우 무료로 소송지원을 받을 수 있습니다.◇ 법률구조제도의 개념더보기,남편이 바람을 피운 사실을 알게 되어 이혼을 요구했는데 남편은 위자료를 한 푼도 줄 수 없다고 합니다. 아이들과 살려면 위자료와 재산분할이 반드시 필요하지만 소송을 진행할 비용이나 변호사를 선임할 돈도 없는 상황입니다. 방법이 없을까요?,나홀로민사소송,법률구조제도,2463,7407,남편이 바람을 피운 사실을 알게 되어 이혼을 요구했는데 남편은 위자료를 한 푼도 줄 수 없다고 합니다. 아이들과 살려면 위자료와 재산분할이 반드시 필요하지만 소송을 진행할 비용이나 변호사를 선임할 돈도 없는 상황입니다. 방법이 없을까요? / 경제적으로 어려운 사람들에게 법률 사무에 관한 지원을 하고 있는 대한법률구조공단(http://www.klac.or.kr/)의 가까운 사무소를 찾아 상담을 해 보시기 바랍니다. 법률구조대상자에 해당하는 경우 변호사나 공익법무관이 무료로 소송을 진행해 줍니다.가사사건인 경우에는 한국가정법률상담소(http://www.lawhome.or.kr/)에 방문해 도움을 요청하셔도 됩니다. 역시 법률구조대상자에 해당하는 경우 무료로 소송지원을 받을 수 있습니다.◇ 법률구조제도의 개념더보기
